product_name,amazon,flipkart,reliance,chroma
iPhone 15 Pro Max (Natural Titanium) - 256GB,"1,51,700","1,39,990","1,54,900","1,37,990"
iPhone 15 Pro Max (Black Titanium) - 256GB,"1,50,700","1,38,990","1,53,900","1,36,990"
iPhone 15 Pro (Blue Titanium) - 1TB,Sold Out,"1,74,990","1,75,990","1,77,990"
iPhone 15 Plus (Blue) - 512GB,"1,10,800","1,11,999","1,08,900",Sold Out
iPhone 15 Plus (Black) - 128GB,"81,999","81,999","82,900","80,590"
iPhone 15 (Green) - 512GB,"1,01,400","1,00,999","98,900","99,290"
iPhone 15 (Black) - 512GB,"1,01,400","1,00,999","98,900","99,290"
iPhone 14 Plus (Blue) - 128GB,"64,999","58,999",Sold Out,"71,090"
iPhone 14 Plus (Purple) - 256GB,"81,700","68,999","68,900","80,490"
iPhone 14 Plus (Black) - 128GB,Sold Out,Sold Out,Sold Out,"61,790"
iPhone 14 (Blue) - 256GB,"72,200",Sold Out,"68,900","71,090"
iPhone 14 (Purple) - 128GB,"62,800","58,999","60,900","61,790"
