product_name,product_price
Apple iPhone 15 Pro (256 GB) - Natural Titanium,"                                         1,39,990"
Apple iPhone 15 Pro (256 GB) - Blue Titanium,"                                         1,34,990"
Apple iPhone 15 Pro (128 GB) - White Titanium,"                                         1,24,990"
Apple iPhone 15 Pro (256 GB) - Black Titanium,"                                         1,24,990"
Apple iPhone 15 Pro (128 GB) - Natural Titanium,"                                         1,24,990"
Apple iPhone 15 Pro (512 GB) - Black Titanium,"                                         1,54,990"
Apple iPhone 15 Pro (128 GB) - Black Titanium,"                                         1,32,200"
Apple iPhone 15 Pro (128 GB) - Blue Titanium,"                                         1,32,200"
Apple iPhone 15 Pro (512 GB) - Blue Titanium,"                                         1,54,990"
Apple iPhone 15 (128 GB) - Blue,"72,999"
Apple iPhone 15 (128 GB) - Black,"73,999"
Apple iPhone 15 Pro (512 GB) - White Titanium,"                                         1,56,400"
Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"                                         1,39,900"
Apple iPhone 15 Pro (1 TB) - Natural Titanium,"                                         1,75,300"
Apple iPhone 15 Pro Max (256 GB) - White Titanium,"                                         1,39,900"
Apple iPhone 15 (256 GB) - Black,"84,999"
Apple iPhone 15 (128 GB) - Pink,"69,999"
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,"                                         1,48,700"
Apple iPhone 15 Plus (128 GB) - Pink,"81,999"
Apple iPhone 15 (256 GB) - Blue,"                                         1,54,700"
Apple iPhone 15 Pro Max (256 GB) - Natural Titanium,"72,999"
Apple iPhone 15 (128 GB) - Green,"87,000"
Apple iPhone 15 Plus (256 GB) - Black,"79,999"
Apple iPhone 15 Plus (128 GB) - Black,"80,999"
